month,tsla_web_search,tsla_usd_close
6/1/10,3,4.766
7/1/10,3,3.988
8/1/10,2,3.896
9/1/10,2,4.082
10/1/10,2,4.368
11/1/10,2,7.066
12/1/10,2,5.326
1/1/11,3,4.82
2/1/11,2,4.778
3/1/11,3,5.55
4/1/11,3,5.52
5/1/11,2,6.028
6/1/11,2,5.826
7/1/11,2,5.634
8/1/11,2,4.948
9/1/11,2,4.878
10/1/11,3,5.874
11/1/11,2,6.548
12/1/11,2,5.712
1/1/12,2,5.814
2/1/12,3,6.682
3/1/12,3,7.448
4/1/12,3,6.626
5/1/12,3,5.9
6/1/12,3,6.258
7/1/12,3,5.484
8/1/12,3,5.704
9/1/12,3,5.856
10/1/12,3,5.626
11/1/12,4,6.764
12/1/12,3,6.774
1/1/13,3,7.502
2/1/13,4,6.966
3/1/13,4,7.578
4/1/13,4,10.798
5/1/13,6,19.552
6/1/13,5,21.472
7/1/13,5,26.856001
8/1/13,7,33.799999
9/1/13,6,38.674
10/1/13,6,31.988001
11/1/13,6,25.455999
12/1/13,5,30.086
1/1/14,5,36.282001
2/1/14,6,48.962002
3/1/14,6,41.689999
4/1/14,6,41.577999
5/1/14,6,41.554001
6/1/14,6,48.012001
7/1/14,7,44.66
8/1/14,6,53.939999
9/1/14,6,48.535999
10/1/14,8,48.34
11/1/14,6,48.903999
12/1/14,6,44.481998
1/1/15,7,40.720001
2/1/15,7,40.667999
3/1/15,7,37.754002
4/1/15,7,45.209999
5/1/15,10,50.16
6/1/15,7,53.652
7/1/15,8,53.23
8/1/15,8,49.812
9/1/15,9,49.68
10/1/15,9,41.386002
11/1/15,8,46.051998
12/1/15,7,48.001999
1/1/16,7,38.240002
2/1/16,8,38.386002
3/1/16,9,45.953999
4/1/16,18,48.152
5/1/16,9,44.646
6/1/16,8,42.456001
7/1/16,9,46.958
8/1/16,8,42.402
9/1/16,8,40.806
10/1/16,10,39.546001
11/1/16,9,37.880001
12/1/16,9,42.737999
1/1/17,9,50.386002
2/1/17,9,49.998001
3/1/17,9,55.66
4/1/17,11,62.813999
5/1/17,10,68.202003
6/1/17,10,72.321999
7/1/17,15,64.694
8/1/17,12,71.18
9/1/17,11,68.220001
10/1/17,11,66.306
11/1/17,16,61.77
12/1/17,12,62.27
1/1/18,12,70.862
2/1/18,15,68.612
3/1/18,11,53.226002
4/1/18,12,58.779999
5/1/18,12,56.945999
6/1/18,11,68.589996
7/1/18,12,59.627998
8/1/18,14,60.332001
9/1/18,14,52.953999
10/1/18,14,67.463997
11/1/18,11,70.096001
12/1/18,12,66.559998
1/1/19,12,61.403999
2/1/19,12,63.976002
3/1/19,17,55.972
4/1/19,15,47.737999
5/1/19,15,37.032001
6/1/19,15,44.692001
7/1/19,14,48.321999
8/1/19,14,45.122002
9/1/19,14,48.174
10/1/19,15,62.984001
11/1/19,30,65.987999
12/1/19,19,83.666
1/1/20,20,130.113998
2/1/20,23,133.598007
3/1/20,17,104.800003
4/1/20,13,156.376007
5/1/20,16,167
6/1/20,17,215.962006
7/1/20,24,286.152008
8/1/20,23,498.320007
9/1/20,31,407.339996
